current_path,new_path,rename_to,category,subcategory,dependencies,priority,description
./.claude/agents/core/coder.md,src/agents/definitions/core/coder.md,coder.md,core,implementation,"planner,researcher,tester",high,Implementation specialist for writing clean efficient code
./.claude/agents/core/planner.md,src/agents/definitions/core/planner.md,planner.md,core,planning,"researcher,coder",high,Task breakdown and execution planning specialist
./.claude/agents/core/researcher.md,src/agents/definitions/core/researcher.md,researcher.md,core,analysis,"planner",high,Research and analysis specialist for context gathering
./.claude/agents/core/reviewer.md,src/agents/definitions/core/reviewer.md,reviewer.md,core,quality,"coder,tester",high,Code review and quality assurance specialist
./.claude/agents/core/tester.md,src/agents/definitions/core/tester.md,tester.md,core,testing,"coder,reviewer",high,Testing and validation specialist

./.claude/agents/analysis/code-analyzer.md,src/agents/definitions/specialized/analysis/code-analyzer.md,code-analyzer.md,specialized,analysis,"reviewer",medium,Code quality and complexity analysis specialist
./.claude/agents/analysis/code-review/analyze-code-quality.md,src/agents/definitions/specialized/analysis/code-quality-analyzer.md,code-quality-analyzer.md,specialized,analysis,"reviewer,code-analyzer",medium,Code quality metrics and standards enforcement

./.claude/agents/architecture/system-design/arch-system-design.md,src/agents/definitions/specialized/architecture/system-architect.md,system-architect.md,specialized,architecture,"planner",high,System design and architecture specialist
./.claude/agents/base-template-generator.md,src/agents/definitions/specialized/scaffolding/template-generator.md,template-generator.md,specialized,scaffolding,none,low,Base template and scaffolding generator

./.claude/agents/consensus/byzantine-coordinator.md,src/agents/definitions/coordination/consensus/byzantine-coordinator.md,byzantine-coordinator.md,coordination,consensus,"swarm-init",critical,Byzantine fault tolerance coordinator
./.claude/agents/consensus/crdt-synchronizer.md,src/agents/definitions/coordination/consensus/crdt-synchronizer.md,crdt-synchronizer.md,coordination,consensus,"swarm-init",critical,CRDT-based data synchronization coordinator
./.claude/agents/consensus/gossip-coordinator.md,src/agents/definitions/coordination/consensus/gossip-coordinator.md,gossip-coordinator.md,coordination,consensus,"swarm-init",critical,Gossip protocol distributed coordinator
./.claude/agents/consensus/performance-benchmarker.md,src/agents/definitions/coordination/performance/performance-benchmarker.md,performance-benchmarker.md,coordination,performance,"swarm-monitor",medium,Performance benchmarking and metrics specialist
./.claude/agents/consensus/quorum-manager.md,src/agents/definitions/coordination/consensus/quorum-manager.md,quorum-manager.md,coordination,consensus,"swarm-init",critical,Quorum-based consensus manager
./.claude/agents/consensus/raft-manager.md,src/agents/definitions/coordination/consensus/raft-manager.md,raft-manager.md,coordination,consensus,"swarm-init",critical,Raft consensus protocol manager
./.claude/agents/consensus/security-manager.md,src/agents/definitions/coordination/security/security-manager.md,security-manager.md,coordination,security,"swarm-init",critical,Security policy enforcement and coordination

./.claude/agents/data/ml/data-ml-model.md,src/agents/definitions/specialized/ml/ml-model-specialist.md,ml-model-specialist.md,specialized,ml,"neural-network",medium,Machine learning model development specialist

./.claude/agents/development/backend/dev-backend-api.md,src/agents/definitions/specialized/backend/backend-api-developer.md,backend-api-developer.md,specialized,backend,"coder,system-architect",high,Backend API development specialist

./.claude/agents/devops/ci-cd/ops-cicd-github.md,src/agents/definitions/specialized/devops/cicd-engineer.md,cicd-engineer.md,specialized,devops,"github-modes",high,CI/CD pipeline engineering specialist

./.claude/agents/documentation/api-docs/docs-api-openapi.md,src/agents/definitions/specialized/documentation/api-documentation-specialist.md,api-documentation-specialist.md,specialized,documentation,"backend-api-developer",medium,OpenAPI and API documentation specialist

./.claude/agents/flow-nexus/app-store.md,src/agents/definitions/platform/flow-nexus/app-store-manager.md,app-store-manager.md,platform,flow-nexus,"authentication",low,Flow Nexus app store management agent
./.claude/agents/flow-nexus/authentication.md,src/agents/definitions/platform/flow-nexus/authentication-manager.md,authentication-manager.md,platform,flow-nexus,none,medium,Flow Nexus authentication and user management
./.claude/agents/flow-nexus/challenges.md,src/agents/definitions/platform/flow-nexus/challenge-coordinator.md,challenge-coordinator.md,platform,flow-nexus,"app-store-manager",low,Flow Nexus coding challenges coordinator
./.claude/agents/flow-nexus/neural-network.md,src/agents/definitions/platform/flow-nexus/neural-network-specialist.md,neural-network-specialist.md,platform,flow-nexus,"sandbox-manager",high,Flow Nexus distributed neural network specialist
./.claude/agents/flow-nexus/payments.md,src/agents/definitions/platform/flow-nexus/payment-coordinator.md,payment-coordinator.md,platform,flow-nexus,"authentication-manager",medium,Flow Nexus payment and credit management
./.claude/agents/flow-nexus/sandbox.md,src/agents/definitions/platform/flow-nexus/sandbox-manager.md,sandbox-manager.md,platform,flow-nexus,"authentication-manager",high,Flow Nexus E2B sandbox orchestration
./.claude/agents/flow-nexus/swarm.md,src/agents/definitions/platform/flow-nexus/swarm-orchestrator.md,swarm-orchestrator.md,platform,flow-nexus,"sandbox-manager,authentication-manager",high,Flow Nexus cloud swarm orchestration
./.claude/agents/flow-nexus/user-tools.md,src/agents/definitions/platform/flow-nexus/user-tools-manager.md,user-tools-manager.md,platform,flow-nexus,"authentication-manager",medium,Flow Nexus user management and storage tools
./.claude/agents/flow-nexus/workflow.md,src/agents/definitions/platform/flow-nexus/workflow-coordinator.md,workflow-coordinator.md,platform,flow-nexus,"swarm-orchestrator",high,Flow Nexus event-driven workflow coordination

./.claude/agents/github/code-review-swarm.md,src/agents/definitions/github/code-review-swarm.md,code-review-swarm.md,github,swarm,"pr-manager,reviewer",high,GitHub code review swarm coordinator
./.claude/agents/github/github-modes.md,src/agents/definitions/github/github-modes.md,github-modes.md,github,orchestration,none,critical,GitHub comprehensive integration modes
./.claude/agents/github/issue-tracker.md,src/agents/definitions/github/issue-tracker.md,issue-tracker.md,github,project,"github-modes",high,GitHub issue management and tracking
./.claude/agents/github/multi-repo-swarm.md,src/agents/definitions/github/multi-repo-swarm.md,multi-repo-swarm.md,github,swarm,"repo-architect,sync-coordinator",medium,Multi-repository swarm coordination
./.claude/agents/github/pr-manager.md,src/agents/definitions/github/pr-manager.md,pr-manager.md,github,workflow,"github-modes,reviewer",high,GitHub pull request management
./.claude/agents/github/project-board-sync.md,src/agents/definitions/github/project-board-sync.md,project-board-sync.md,github,project,"issue-tracker",medium,GitHub project board synchronization
./.claude/agents/github/release-manager.md,src/agents/definitions/github/release-manager.md,release-manager.md,github,release,"pr-manager",high,GitHub release management and versioning
./.claude/agents/github/release-swarm.md,src/agents/definitions/github/release-swarm.md,release-swarm.md,github,swarm,"release-manager",medium,GitHub release swarm coordination
./.claude/agents/github/repo-architect.md,src/agents/definitions/github/repo-architect.md,repo-architect.md,github,architecture,"github-modes",high,GitHub repository architecture specialist
./.claude/agents/github/swarm-issue.md,src/agents/definitions/github/swarm-issue.md,swarm-issue.md,github,swarm,"issue-tracker",medium,GitHub issue swarm coordination
./.claude/agents/github/swarm-pr.md,src/agents/definitions/github/swarm-pr.md,swarm-pr.md,github,swarm,"pr-manager",medium,GitHub PR swarm coordination
./.claude/agents/github/sync-coordinator.md,src/agents/definitions/github/sync-coordinator.md,sync-coordinator.md,github,sync,"github-modes",high,Multi-package synchronization coordinator
./.claude/agents/github/workflow-automation.md,src/agents/definitions/github/workflow-automation.md,workflow-automation.md,github,workflow,"github-modes,cicd-engineer",high,GitHub workflow automation specialist

./.claude/agents/goal/code-goal-planner.md,src/agents/definitions/meta/planning/code-goal-planner.md,code-goal-planner.md,meta,planning,"planner",medium,Code-focused goal planning specialist
./.claude/agents/goal/goal-planner.md,src/agents/definitions/meta/planning/goal-planner.md,goal-planner.md,meta,planning,"planner",high,General goal planning and decomposition

./.claude/agents/hive-mind/collective-intelligence-coordinator.md,src/agents/definitions/coordination/hive-mind/collective-intelligence-coordinator.md,collective-intelligence-coordinator.md,coordination,hive-mind,"swarm-memory-manager,queen-coordinator",critical,Distributed cognitive process orchestration
./.claude/agents/hive-mind/queen-coordinator.md,src/agents/definitions/coordination/hive-mind/queen-coordinator.md,queen-coordinator.md,coordination,hive-mind,"collective-intelligence-coordinator",critical,Hierarchical hive mind command coordinator
./.claude/agents/hive-mind/scout-explorer.md,src/agents/definitions/coordination/hive-mind/scout-explorer.md,scout-explorer.md,coordination,hive-mind,"queen-coordinator",medium,Information gathering and exploration scout
./.claude/agents/hive-mind/swarm-memory-manager.md,src/agents/definitions/coordination/hive-mind/swarm-memory-manager.md,swarm-memory-manager.md,coordination,hive-mind,"collective-intelligence-coordinator",critical,Distributed memory synchronization manager
./.claude/agents/hive-mind/worker-specialist.md,src/agents/definitions/coordination/hive-mind/worker-specialist.md,worker-specialist.md,coordination,hive-mind,"queen-coordinator",high,Specialized task execution worker

./.claude/agents/neural/safla-neural.md,src/agents/definitions/specialized/neural/safla-neural-specialist.md,safla-neural-specialist.md,specialized,neural,"neural-network-specialist",medium,SAFLA neural pattern specialist

./.claude/agents/optimization/benchmark-suite.md,src/agents/definitions/coordination/performance/benchmark-suite.md,benchmark-suite.md,coordination,performance,"performance-benchmarker",medium,Comprehensive benchmarking suite coordinator
./.claude/agents/optimization/load-balancer.md,src/agents/definitions/coordination/performance/load-balancer.md,load-balancer.md,coordination,performance,"swarm-monitor",high,Dynamic load balancing coordinator
./.claude/agents/optimization/performance-monitor.md,src/agents/definitions/coordination/performance/performance-monitor.md,performance-monitor.md,coordination,performance,"swarm-monitor",high,Real-time performance monitoring specialist
./.claude/agents/optimization/resource-allocator.md,src/agents/definitions/coordination/performance/resource-allocator.md,resource-allocator.md,coordination,performance,"swarm-monitor,load-balancer",high,Intelligent resource allocation coordinator
./.claude/agents/optimization/topology-optimizer.md,src/agents/definitions/coordination/performance/topology-optimizer.md,topology-optimizer.md,coordination,performance,"adaptive-coordinator",high,Swarm topology optimization specialist

./.claude/agents/reasoning/agent.md,src/agents/definitions/meta/reasoning/reasoning-agent.md,reasoning-agent.md,meta,reasoning,none,medium,General reasoning and problem-solving agent
./.claude/agents/reasoning/example-reasoning-agent-template.md,src/agents/definitions/meta/reasoning/reasoning-template.md,reasoning-template.md,meta,reasoning,none,low,Example template for reasoning agents
./.claude/agents/reasoning/goal-planner.md,src/agents/definitions/meta/planning/reasoning-goal-planner.md,reasoning-goal-planner.md,meta,planning,"goal-planner",medium,Reasoning-focused goal planning (duplicate)
./.claude/agents/reasoning/README.md,src/agents/definitions/meta/reasoning/README.md,README.md,meta,reasoning,none,low,Reasoning agent documentation

./.claude/agents/sparc/architecture.md,src/agents/definitions/meta/sparc/architecture-specialist.md,architecture-specialist.md,meta,sparc,"specification-specialist,pseudocode-specialist",high,SPARC architecture phase specialist
./.claude/agents/sparc/pseudocode.md,src/agents/definitions/meta/sparc/pseudocode-specialist.md,pseudocode-specialist.md,meta,sparc,"specification-specialist",high,SPARC pseudocode design specialist
./.claude/agents/sparc/refinement.md,src/agents/definitions/meta/sparc/refinement-specialist.md,refinement-specialist.md,meta,sparc,"architecture-specialist,tester",high,SPARC refinement and TDD specialist
./.claude/agents/sparc/specification.md,src/agents/definitions/meta/sparc/specification-specialist.md,specification-specialist.md,meta,sparc,"researcher",high,SPARC specification requirements specialist

./.claude/agents/specialized/mobile/spec-mobile-react-native.md,src/agents/definitions/specialized/mobile/react-native-specialist.md,react-native-specialist.md,specialized,mobile,"coder",medium,React Native mobile development specialist

./.claude/agents/swarm/adaptive-coordinator.md,src/agents/definitions/coordination/swarm/adaptive-coordinator.md,adaptive-coordinator.md,coordination,swarm,"swarm-init,neural-network-specialist",critical,Dynamic topology switching coordinator
./.claude/agents/swarm/hierarchical-coordinator.md,src/agents/definitions/coordination/swarm/hierarchical-coordinator.md,hierarchical-coordinator.md,coordination,swarm,"swarm-init",critical,Hierarchical swarm coordination pattern
./.claude/agents/swarm/mesh-coordinator.md,src/agents/definitions/coordination/swarm/mesh-coordinator.md,mesh-coordinator.md,coordination,swarm,"swarm-init",critical,Mesh topology peer-to-peer coordinator

./.claude/agents/templates/automation-smart-agent.md,src/agents/definitions/meta/templates/smart-agent-template.md,smart-agent-template.md,meta,templates,none,low,Smart agent automation template
./.claude/agents/templates/coordinator-swarm-init.md,src/agents/definitions/meta/templates/swarm-init-template.md,swarm-init-template.md,meta,templates,"swarm-coordinators",low,Swarm initialization coordinator template
./.claude/agents/templates/github-pr-manager.md,src/agents/definitions/meta/templates/github-pr-template.md,github-pr-template.md,meta,templates,"pr-manager",low,GitHub PR manager template
./.claude/agents/templates/implementer-sparc-coder.md,src/agents/definitions/meta/templates/sparc-coder-template.md,sparc-coder-template.md,meta,templates,"coder,sparc-coordinator",low,SPARC coder implementation template
./.claude/agents/templates/memory-coordinator.md,src/agents/definitions/meta/templates/memory-coordinator-template.md,memory-coordinator-template.md,meta,templates,"swarm-memory-manager",low,Memory coordination template
./.claude/agents/templates/migration-plan.md,src/agents/definitions/meta/templates/migration-plan-template.md,migration-plan-template.md,meta,templates,none,low,Agent migration planning template
./.claude/agents/templates/orchestrator-task.md,src/agents/definitions/meta/templates/task-orchestrator-template.md,task-orchestrator-template.md,meta,templates,"planner",low,Task orchestration template
./.claude/agents/templates/performance-analyzer.md,src/agents/definitions/meta/templates/performance-analyzer-template.md,performance-analyzer-template.md,meta,templates,"performance-monitor",low,Performance analysis template
./.claude/agents/templates/sparc-coordinator.md,src/agents/definitions/meta/templates/sparc-coordinator-template.md,sparc-coordinator-template.md,meta,templates,"sparc-specialists",low,SPARC coordination template

./.claude/agents/testing/unit/tdd-london-swarm.md,src/agents/definitions/specialized/testing/tdd-london-swarm.md,tdd-london-swarm.md,specialized,testing,"tester,coder",high,London-style TDD swarm coordinator
./.claude/agents/testing/validation/production-validator.md,src/agents/definitions/specialized/testing/production-validator.md,production-validator.md,specialized,testing,"tester,reviewer",high,Production deployment validation specialist
